"id","parser_id","action_id","response_definition_id","sample_data","rollback"
59,53,63,58,"{""name"": ""借贷情况"", ""allnum_d7"": ""-/-"", ""allnum_m1"": ""-/-"", ""allnum_m3"": ""-/-"", ""allnum_m6"": ""-/-"", ""orgnum_d7"": ""-/-"", ""orgnum_m1"": ""-/-"", ""orgnum_m3"": ""-/-"", ""orgnum_m6"": ""-/-"", ""allnum_d15"": ""-/-"", ""allnum_m12"": ""-/-"", ""orgnum_d15"": ""-/-"", ""orgnum_m12"": ""-/-""}",false
60,53,64,59,"{""m1"": ""a/a"", ""m3"": ""a/a"", ""m6"": ""a/a"", ""m9"": ""a/a"", ""m12"": ""a/a"", ""name"": ""预测在非银机构应还款等级""}",false
61,53,65,60,"{""m1"": ""1/1"", ""m2"": ""0/0"", ""m3"": ""0/0"", ""m4"": ""0/0"", ""m5"": ""0/0"", ""m6"": ""0/0"", ""m7"": ""0/0"", ""m8"": ""0/0"", ""m9"": ""0/0"", ""m10"": ""0/0"", ""m11"": ""0/0"", ""m12"": ""0/0"", ""name"": ""在非银机构新增申请次数""}",false
62,53,66,61,"{""name"": ""ir_id_is_reabnormal"", ""result"": ""0""}",false
63,53,67,61,"{""name"": ""ir_cell_x_id_cnt"", ""result"": ""1""}",false
64,53,68,61,"{""name"": ""ir_allmatch_days"", ""result"": ""459""}",false
65,53,69,62,"{""group_num"": ""-"", ""list_level"": ""-""}",false
66,53,70,63,"{""nodebtscore"": ""31""}",false
67,35,99,,"",false
68,56,100,,"",false
69,55,101,,"",false
